Komentar_Bersih,Sentiment
satpolpp hilang jaringan,Neutral
tunggu,Negative
coba cek om,Neutral
ok sudah terima kasih om,Neutral
samasama,Positive
assalamulaikum om jaringan polpp begini lagi,Neutral
cek lagi,Neutral
assalamualaikum,Positive
hilang jaringan terus,Negative
coba cek,Neutral
oke,Positive
disperindagkopukm tidak bisa connect,Neutral
dinas lingkungan hidup juga,Neutral
disnakertrans nomor jaringan,Neutral
selamat pagi minta tolong jaringan capil timbul tenggelam,Neutral
up juga dishub nomor internet,Neutral
full pulang pergi nomor internet,Neutral
selamat pagi izin menginformasikan jaringan perpustakaan lambat,Neutral
assalamualaikum jaringan di dinas pertanian lambat,Neutral
assalamualaikum,Positive
assalamualaikum,Positive
kabupaten tidak ada jaringan internet,Neutral
sabar om sementara pengecekan,Neutral
oke mantap,Positive
cek,Positive
cek,Positive
perpustakaan sudah kak terima kasih,Positive
cek,Positive
sudah okee terima kasih,Neutral
cek,Positive
cek,Positive
cek,Positive
cek,Positive
cek om,Neutral
cek,Positive
oke sudah terima kasih fik,Neutral
terima kasih,Positive
sudah,Positive
oke mkasi om,Neutral
siap sama,Positive
asslamuallaikum dinas pertanian jaringan lambat,Neutral
dinas pemuda dan olahraga lambat jaringan,Neutral
silahkan cek,Neutral
ini lambat sisi mana pak,Negative
aman,Negative
assalamualaikum,Positive
cek lagi,Neutral
selamt pagi minta tolong jaringan capil lambat,Neutral
assalamualaikum,Positive
akses kemana yang lambat ibu,Negative
ok sok boleh,Negative
dishub nomor internet,Neutral
tunggu,Negative
ok,Negative
coba cek om,Neutral
oke sudah aman,Positive
assalamualaikum warahmatullahi wabarakatuh,Positive
assalamualaikum,Positive
assalamulaikum om jaringan satpolpp tidak ada koneksi,Neutral
perikanan juga itu apa kok koneksi,Negative
cek,Positive
cek,Positive
cek,Positive
cek,Positive
ok sudah terima kasih,Neutral
siap,Positive
oke sudah terima kasih,Neutral
ok aman terima kasih,Positive
selamat pagi meminta tolong jaringan capil,Neutral
masih,Negative
masih sama,Negative
tunggu,Negative
assalamualaikum dinas sosial hilang koneksi,Neutral
meminta tolong capil tidak koneksi internet,Neutral
cek,Positive
cek,Positive
kalau sekarang bagaimana ibu,Negative
sudah,Positive
jaringan di kabupaten nomor internet,Neutral
capil juga nomor konekasi internet,Neutral
assalamulaikum om jaringan polpp tidak ada koneksi,Neutral
ons cek,Neutral
belum,Negative
